operator_id,operator_name,shift,hire_date,cert_level,specialization,welding_cert_current
OP001,Allison Hill,Shift B,2026-05-09,Level 2,Welding,Yes
OP002,Noah Rhodes,Shift A,2022-02-27,Level 3,General,Yes
OP003,Angie Henderson,Shift B,2021-02-28,Level 2,General,Yes
OP004,Daniel Wagner,Shift A,2022-09-10,Level 2,Bending,Yes
OP005,Cristian Santos,Shift A,2024-08-04,Level 1,Bending,Yes
OP006,Connie Lawrence,Shift B,2023-10-16,Level 1,Bending,Yes
OP007,Abigail Shaffer,Shift B,2017-03-24,Level 1,Welding,No
OP008,Gina Moore,Shift B,2014-11-12,Level 3,General,Yes
OP009,Gabrielle Davis,Shift A,2018-04-07,Level 2,Laser,No
OP010,Ryan Munoz,Shift B,2017-09-10,Level 2,Bending,Yes
OP011,Monica Herrera,Shift B,2017-01-04,Level 1,Bending,Yes
OP012,Jamie Arnold,Shift B,2025-10-16,Level 3,Laser,No
OP013,Lisa Hensley,Shift A,2024-12-29,Level 3,General,Yes
OP014,Michele Williams,Shift B,2018-04-03,Level 1,Laser,Yes
OP015,Dylan Miller,Shift A,2022-05-06,Level 1,Bending,No
OP016,Brian Ramirez,Shift B,2019-03-24,Level 1,Bending,Yes
OP017,Holly Wood,Shift A,2025-06-14,Level 1,Bending,Yes
OP018,Derek Zuniga,Shift A,2019-12-26,Level 2,Bending,Yes
OP019,Lisa Jackson,Shift A,2017-08-28,Level 2,Laser,Yes
OP020,Carla Gray,Shift A,2017-06-09,Level 1,Bending,Yes
